wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,syllabified,lemma
35,5,6,en,en,5,Pre,Pre,/V\,en
36,5,7,bon,bon,5,Adj,Adj,C/V\,bon
37,5,8,sont,sont,5,Vfin,Vfin,C/V\,être
38,5,9,compris,compris,5,Vpp,Vpp,C/V\.'C/V\,comprendre
39,5,10,",",",",5,Pnc,Pnc,,","
40,6,1,par,par,6,Pre,Pre,C/V\,par
41,6,2,noblece,noblece,6,N,N,C/V\.'C/V\.C/(e)\,noblesse
42,6,3,de,de,6,Pre,Pre,C/(e)\,de
43,6,4,cuer,cuer,6,N,N,C/V\,coeur
44,6,5,duis,duis,6,Vpp,Vpp,C/V\,duire
45,6,6,et,et,6,Crd,Crd,/V\,et
46,6,7,appris,appris,6,Vpp,Vpp,/V\.'C/V\,apprendre
47,7,1,es,es,7,Pre+Det,Pre+Det,/V\,en.le
48,7,2,las,las,7,N,N,C/V\,lacs
49,7,3,d',d',7,Pre,Pre,C/\,de
50,7,4,amours,amours,7,N,N,/V\.'C/V\,amour
51,7,5,pour,pour,7,Pre,Pre,C/V\,pour
52,7,6,accroistre,accroistre,7,Vinf,Vinf,/V\.'C/V\.C/(e)\,accroître
53,7,7,le,le,7,Det,Det,C/(e)\,le
54,7,8,pris,pris,7,N,N,C/V\,prix
55,8,1,de,de,8,Pre,Pre,C/(e)\,de
56,8,2,vo,vo,8,Det,Det,C/V\,votre
57,8,3,noblece,noblece,8,N,N,C/V\.'C/V\.C/(e)\,noblesse
58,8,4,",",",",8,Pnc,Pnc,,","
59,9,1,sage,sage,9,Adj,Adj,'C/V\.C/(e)\,sage
60,9,2,a,a,9,Pre,Pre,/V\,à
61,9,3,juger,juger,9,Vinf,Vinf,C/V\.'C/V\,juger
62,9,4,du,du,9,Pre+Det,Pre+Det,C/V\,de.le
63,9,5,mal,mal,9,N,N,C/V\,mal
64,9,6,d',d',9,Pre,Pre,C/\,de
65,9,7,amours,amours,9,N,N,/V\.'C/V\,amour
66,9,8,qui,qui,9,Qux,Qux,C/V\,qui
67,9,9,blesse,blesse,9,Vfin,Vfin,'C/V\.C/(e)\,blesser
68,9,10,",",",",9,Pnc,Pnc,,","
69,10,1,quieulx,quieulx,10,Qux,Qux,C/V\,quel
70,10,2,sont,sont,10,Vfin,Vfin,C/V\,être
71,10,3,les,les,10,Det,Det,C/V\,le
72,10,4,tours,tours,10,N,N,C/V\,tour
73,10,5,",",",",10,Pnc,Pnc,,","
74,10,6,soit,soit,10,Vfin,Vfin,C/V\,être
75,10,7,en,en,10,Pre,Pre,/V\,en
76,10,8,force,force,10,N,N,'C/V\.C/(e)\,force
77,10,9,ou,ou,10,Crd,Crd,/V\,ou
78,10,10,foiblece,foiblece,10,N,N,C/V\.'C/V\.C/(e)\,faiblesse
79,10,11,",",",",10,Pnc,Pnc,,","
80,11,1,pour,pour,11,Pre,Pre,C/V\,pour
81,11,2,ce,ce,11,Prn,Prn,C/(e)\,ce
82,11,3,vous,vous,11,Prn,Prn$$,C/V\,vous
83,11,4,ay,ay,11,Vfin,Vfin,/V\,avoir
84,11,5,",",",",11,Pnc,Pnc,,","
85,11,6,chier,chier,11,Adj,Adj,C/V\,cher
86,11,7,sire,sire,11,N,N,'C/V\.C/(e)\,sire
87,11,8,",",",",11,Pnc,Pnc,,","
88,11,9,plain,plain,11,Adj,Adj,C/V\,plein
89,11,10,d',d',11,Pre,Pre,C/\,de
90,11,11,umblece,umblece,11,N,N,/V\.'C/V\.C/(e)\,humblesse
91,11,12,",",",",11,Pnc,Pnc,,","
92,12,1,esleu,esleu,12,Vpp,Vpp,/V\.C/(V)\.'/V\,élire
93,12,2,a,a,12,Pre,Pre,/V\,à
94,12,3,juge,juge,12,N,N,'C/V\.C/(e)\,juge
95,12,4,.,.,12,Pnc,Pnc,,.
96,13,1,car,car,13,Crd,Crd,C/V\,car
97,13,2,vo,vo,13,Det,Det,C/V\,votre
98,13,3,bon,bon,13,Adj,Adj,C/V\,bon
99,13,4,cuer,cuer,13,N,N,C/V\,coeur
100,13,5,bien,bien,13,Adv,Adv,C/V\,bien
101,13,6,sçay,sçay,13,Vfin,Vfin,C/V\,savoir
102,13,7,que,que,13,Sub,Sub,C/(e)\,que
103,13,8,le,le,13,Det,Det,C/(e)\,le
104,13,9,droit,droit,13,N,N,C/V\,droit
105,13,10,juge,juge,13,Vfin,Vfin,'C/V\.C/(e)\,juger
106,14,1,ou,ou,14,Qux,Qux,/V\,où
107,14,2,il,il,14,Prn,Prn$,/V\,il
108,14,3,affiert,affiert,14,Vfin,Vfin,/V\.'C/V\,afférir
109,14,4,;,;,14,Pnc,Pnc,,;
110,14,5,pour,pour,14,Pre,Pre,C/V\,pour
111,14,6,ce,ce,14,Prn,Prn,C/(e)\,ce
112,14,7,vien,vien,14,Vfin,Vfin,C/V\,venir
113,14,8,a,a,14,Pre,Pre,/V\,à
114,14,9,reffuge,reffuge,14,N,N,C/V\.'C/V\.C/(e)\,refuge
115,15,1,a,a,15,Pre,Pre,/V\,à
116,15,2,vous,vous,15,Prn,Prn,C/V\,vous
117,15,3,",",",",15,Pnc,Pnc,,","
118,15,4,ainsi,ainsi,15,Adv,Adv,/V\.'C/V\,ainsi
119,15,5,comme,comme,15,Sub,Sub,'C/V\.C/(e)\,comme
120,15,6,ou,ou,15,Pre+Det,Pre+Det,/V\,en.le
121,15,7,temps,temps,15,N,N,C/V\,temps
122,15,8,du,du,15,Pre+Det,Pre+Det,C/V\,de.le
123,15,9,deluge,deluge,15,N,N,C/V\.'C/V\.C/(e)\,déluge
124,16,1,qui,qui,16,Qux,Qux,C/V\,qui
125,16,2,tout,tout,16,QIs,QIs,C/V\,tout
126,16,3,noya,noya,16,Vfin,Vfin,C/V\.'C/V\,noyer
127,16,4,",",",",16,Pnc,Pnc,,","
128,17,1,le,le,17,Det,Det,C/(e)\,le
129,17,2,coulomb,coulomb,17,N,N,C/V\.'C/V\,colombe
130,17,3,blanc,blanc,17,Adj,Adj,C/V\,blanc
131,17,4,a,a,17,Pre,Pre,/V\,à
132,17,5,l',l',17,Det,Det,C/\,le
133,17,6,arche,arche,17,N,N,'/V\.C/(e)\,arche
134,17,7,s',s',17,Prn,Prn$$,C/\,se
135,17,8,avoya,avoya,17,Vfin,Vfin,/V\.C/V\.'C/V\,avoyer
136,17,9,",",",",17,Pnc,Pnc,,","
137,18,1,la,la,18,Adv,Adv,C/V\,là
138,18,2,attendi,attendi,18,Vfin,Vfin,/V\.C/V\.'C/V\,attendre
139,18,3,tant,tant,18,QIs,QIs,C/V\,tant
140,18,4,que,que,18,Sub,Sub,C/(e)\,que
141,18,5,souleil,souleil,18,N,N,C/V\.'C/V\,soleil
142,18,6,roya,roya,18,Vfin,Vfin,C/V\.'C/V\,rayer
143,18,7,;,;,18,Pnc,Pnc,,;
144,19,1,auques,auques,19,Adv,Adv,'/V\.C/e\,auques
145,19,2,ainsi,ainsi,19,Adv,Adv,/V\.'C/V\,ainsi
146,19,3,mon,mon,19,Det,Det,C/V\,mon
147,19,4,cuer,cuer,19,N,N,C/V\,coeur
148,19,5,celle,celle,19,Dem,Dem,'C/V\.C/(e)\,cil
149,19,6,voye,voye,19,N,N,'C/V\./(e)\,voie
150,19,7,a,a,19,Vfin,Vfin,/V\,avoir
151,20,1,prise,prise,20,Vpp,Vpp,'C/V\.C/(e)\,prendre
152,20,2,sans,sans,20,Pre,Pre,C/V\,sans
153,20,3,faille,faille,20,N,N,'C/V\.C/(e)\,faille
154,20,4,",",",",20,Pnc,Pnc,,","
155,21,1,pour,pour,21,Pre,Pre,C/V\,pour
156,21,2,le,le,21,Det,Det,C/(e)\,le
157,21,3,debat,debat,21,N,N,C/V\.'C/V\,débat
158,21,4,de,de,21,Pre,Pre,C/(e)\,de
159,21,5,certaine,certaine,21,Adj,Adj,C/V\.'C/V\.C/(e)\,certain
160,21,6,fermaille,fermaille,21,N,N,C/V\.'C/V\.C/(e)\,fermaille
161,22,1,qu',qu',22,Qux,Qux,C/\,que
162,22,2,aucuns,aucuns,22,QIs,QIs,/V\.'C/V\,aucun
163,22,3,amans,amans,22,Vprs,Vprs,/V\.'C/V\,aimer
164,22,4,beauls,beauls,22,Adj,Adj,C/V\,beau
165,22,5,de,de,22,Pre,Pre,C/(e)\,de
166,22,6,corps,corps,22,N,N,C/V\,corps
167,22,7,et,et,22,Crd,Crd,/V\,et
168,22,8,de,de,22,Pre,Pre,C/(e)\,de
169,22,9,taille,taille,22,N,N,'C/V\.C/(e)\,taille
170,23,1,ont,ont,23,Vfin,Vfin,/V\,avoir
171,23,2,ensemble,ensemble,23,Adv,Adv,/V\.'C/V\.C/(e)\,ensemble
172,23,3,.,.,23,Pnc,Pnc,,.
173,23,4,si,si,23,Adv,Adv,C/V\,si
174,23,5,veulent,veulent,23,Vfin,Vfin,'C/V\.C/e\,vouloir
175,23,6,que,que,23,Sub,Sub,C/(e)\,que
176,23,7,j',j',23,Prn,Prn$,C/\,je
177,23,8,en,en,23,Prn,Prn$$,/V\,en
178,23,9,taille,taille,23,Vfin,Vfin,'C/V\.C/(e)\,tailler
179,24,1,le,le,24,Det,Det,C/(e)\,le
180,24,2,court,court,24,Adj,Adj,C/V\,court
181,24,3,ou,ou,24,Pre+Det,Pre+Det,/V\,en.le
182,24,4,lonc,lonc,24,Adj,Adj,C/V\,long
183,24,5,",",",",24,Pnc,Pnc,,","
184,25,1,mais,mais,25,Crd,Crd,C/V\,mais
185,25,2,je,je,25,Prn,Prn$,C/(e)\,je
186,25,3,ne,ne,25,Neg,Neg$$,C/(e)\,ne
187,25,4,vy,vy,25,Vfin,Vfin,C/V\,voir
188,25,5,tel,tel,25,Adj,Adj,C/V\,tel
189,25,6,cas,cas,25,N,N,C/V\,cas
190,25,7,advenir,advenir,25,Vinf,Vinf,/V\.C/e\.'C/V\,avenir
191,25,8,onq,onq,25,Adv,Adv,/V\,onques
192,26,1,et,et,26,Crd,Crd,/V\,et
193,26,2,trop,trop,26,Adv,Adv,C/V\,trop
194,26,3,pou,pou,26,Adv,Adv,C/V\,peu
195,26,4,say,say,26,Vfin,Vfin,C/V\,savoir
196,26,5,pour,pour,26,Pre,Pre,C/V\,pour
197,26,6,en,en,26,Prn,Prn,/V\,en
198,26,7,bien,bien,26,Adv,Adv,C/V\,bien
199,26,8,juger,juger,26,Vinf,Vinf,C/V\.'C/V\,juger
200,26,9,",",",",26,Pnc,Pnc,,","
201,26,10,donc,donc,26,Adv,Adv,C/V\,donc
202,27,1,juge,juge,27,N,N,'C/V\.C/(e)\,juge
203,27,2,en,en,27,Prn,Prn$$,/V\,en
204,27,3,soiés,soiés,27,Vfin,Vfin,C/V\.'C/V\,être
205,27,4,et,et,27,Crd,Crd,/V\,et
206,27,5,je,je,27,Prn,Prn$,C/(e)\,je
207,27,6,diray,diray,27,Vfin,Vfin,C/V\.'C/V\,dire
208,27,7,au,au,27,Pre+Det,Pre+Det,/V\,à.le
209,27,8,lonc,lonc,27,Adj,Adj,C/V\,long
210,28,1,tout,tout,28,QIs,QIs,C/V\,tout
211,28,2,leur,leur,28,Det,Det,C/V\,leur
212,28,3,descort,descort,28,N,N,C/V\.'C/V\,discord
213,29,1,de,de,29,Pre,Pre,C/(e)\,de
214,29,2,mot,mot,29,N,N,C/V\,mot
215,29,3,a,a,29,Pre,Pre,/V\,à
216,29,4,mot,mot,29,N,N,C/V\,mot
217,29,5,",",",",29,Pnc,Pnc,,","
218,29,6,sicom,sicom,29,Sub,Sub,C/V\.'C/V\,sicomme
219,29,7,j',j',29,Prn,Prn$,C/\,je
220,29,8,en,en,29,Prn,Prn$$,/V\,en
221,29,9,ay,ay,29,Vfin,Vfin,/V\,avoir
222,29,10,recort,recort,29,N,N,C/V\.'C/V\,recort
223,29,11,",",",",29,Pnc,Pnc,,","
224,30,1,et,et,30,Crd,Crd,/V\,et
225,30,2,a,a,30,Pre,Pre,/V\,à
226,30,3,voz,voz,30,Det,Det,C/V\,votre
227,30,4,dis,dis,30,N,N,C/V\,dit
228,30,5,en,en,30,Pre,Pre,/V\,en
229,30,6,tous,tous,30,QIs,QIs,C/V\,tout
230,30,7,cas,cas,30,N,N,C/V\,cas
231,30,8,je,je,30,Prn,Prn$,C/(e)\,je
232,30,9,m',m',30,Prn,Prn$$,C/\,me
233,30,10,acort,acort,30,Vfin,Vfin,/V\.'C/V\,accorder
234,30,11,;,;,30,Pnc,Pnc,,;
235,31,1,si,si,31,Adv,Adv,C/V\,si
236,31,2,feront,feront,31,Vfin,Vfin,C/V\.'C/V\,faire
237,31,3,ilz,ilz,31,Prn,Prn%,/V\,il
238,31,4,",",",",31,Pnc,Pnc,,","
239,31,5,car,car,31,Crd,Crd,C/V\,car
240,31,6,vostre,vostre,31,Det,Det,'C/V\.C/(e)\,votre
241,31,7,bon,bon,31,Adj,Adj,C/V\,bon
242,31,8,recort,recort,31,N,N,C/V\.'C/V\,recort
243,32,1,doit,doit,32,Vfin,Vfin,C/V\,devoir
244,32,2,bien,bien,32,Adv,Adv,C/V\,bien
245,32,3,souffire,souffire,32,Vinf,Vinf,C/V\.'C/V\.C/(e)\,suffire
246,32,4,.,.,32,Pnc,Pnc,,.
247,33,1,le,le,33,Det,Det,C/(e)\,le
248,33,2,premier,premier,33,Adj,Adj,C/V\.C/<V>\.'/V\,premier
249,33,3,cas,cas,33,N,N,C/V\,cas
250,33,4,",",",",33,Pnc,Pnc,,","
251,33,5,ainsi,ainsi,33,Adv,Adv,/V\.'C/V\,ainsi
252,33,6,comme,comme,33,Sub,Sub,'C/V\.C/(e)\,comme
253,33,7,j',j',33,Prn,Prn$,C/\,je
254,33,8,oy,oy,33,Vfin,Vfin,/V\,ouïr
255,33,9,dire,dire,33,Vinf,Vinf,'C/V\.C/(e)\,dire
256,33,10,",",",",33,Pnc,Pnc,,","
257,34,1,fu,fu,34,Vfin,Vfin,C/V\,être
258,34,2,tel,tel,34,Adj,Adj,C/V\,tel
259,34,3,qu',qu',34,Sub,Sub,C/\,que
260,34,4,il,il,34,Prn,Prn$,/V\,il
261,34,5,a,a,34,Vfin,Vfin,/V\,avoir
262,34,6,en,en,34,Pre,Pre,/V\,en
263,34,7,france,france,34,N,N,'C/V\.C/(e)\,France
264,34,8,ou,ou,34,Crd,Crd,/V\,ou
265,34,9,en,en,34,Pre,Pre,/V\,en
266,34,10,l',l',34,Det,Det,C/\,le
267,34,11,empire,empire,34,N,N,/V\.'C/V\.C/(e)\,empire
268,35,1,une,une,35,QIs,QIs,'/V\.C/(e)\,un
269,35,2,dame,dame,35,N,N,'C/V\.C/(e)\,dame
270,35,3,si,si,35,Adv,Adv,C/V\,si
271,35,4,belle,belle,35,Adj,Adj,'C/V\.C/(e)\,beau
272,35,5,qu',qu',35,Sub,Sub,C/\,que
273,35,6,a,a,35,Pre,Pre,/V\,à
274,35,7,redire,redire,35,Vinf,Vinf,C/V\.'C/V\.C/(e)\,redire
275,36,1,ne,ne,36,Neg,Neg$$,C/(e)\,ne
276,36,2,scet,scet,36,Vfin,Vfin,C/V\,savoir
277,36,3,nul,nul,36,QIs,QIs,C/V\,nul
278,36,4,ame,ame,36,N,N,'/V\.C/(e)\,âme
279,36,5,:,:,36,Pnc,Pnc,,:
280,37,1,sage,sage,37,Adj,Adj,'C/V\.C/(e)\,sage
281,37,2,",",",",37,Pnc,Pnc,,","
282,37,3,vaillant,vaillant,37,Vprs,Vprs,C/V\.'C/V\,valoir
283,37,4,",",",",37,Pnc,Pnc,,","
284,37,5,prisee,prisee,37,Vpp,Vpp,C/V\.'C/V\./(e)\,priser
285,37,6,et,et,37,Crd,Crd,/V\,et
286,37,7,haulte,haulte,37,Adj,Adj,'C/V\.C/(e)\,haut
287,37,8,dame,dame,37,N,N,'C/V\.C/(e)\,dame
288,37,9,",",",",37,Pnc,Pnc,,","
289,38,1,envoysee,envoysee,38,Vpp,Vpp,/V\.C/V\.'C/V\./(e)\,envoiser
290,38,2,",",",",38,Pnc,Pnc,,","
291,38,3,loyal,loyal,38,Adj,Adj,C/V\.'C/V\,loyal
292,38,4,de,de,38,Pre,Pre,C/(e)\,de
293,38,5,corps,corps,38,N,N,C/V\,corps
294,38,6,et,et,38,Crd,Crd,/V\,et
295,38,7,d',d',38,Pre,Pre,C/\,de
296,38,8,ame,ame,38,N,N,'/V\.C/(e)\,âme
297,38,9,",",",",38,Pnc,Pnc,,","
298,39,1,ou,ou,39,Qux,Qux,/V\,où
299,39,2,n',n',39,Neg,Neg$$,C/\,ne
300,39,3,a,a,39,Vfin,Vfin,/V\,avoir
301,39,4,meffait,meffait,39,N,N,C/V\.'C/V\,méfait
302,39,5,",",",",39,Pnc,Pnc,,","
303,39,6,reprouche,reprouche,39,N,N,C/V\.'C/V\.C/(e)\,reproche
304,39,7,ne,ne,39,Crd,Crd,C/(e)\,ne
305,39,8,diffame,diffame,39,N,N,C/V\.'C/V\.C/(e)\,diffame
306,39,9,:,:,39,Pnc,Pnc,,:
307,40,1,amer,amer,40,Vinf,Vinf,/V\.'C/V\,aimer
308,40,2,souloit,souloit,40,Vfin,Vfin,C/V\.'C/V\,souloir
309,41,1,un,un,41,QIs,QIs,/V\,un
310,41,2,chevalier,chevalier,41,N,N,C/V\.C/V\.'C/V\,chevalier
311,41,3,qui,qui,41,Qux,Qux,C/V\,qui
312,41,4,pour,pour,41,Pre,Pre,C/V\,pour
313,41,5,elle,elle,41,Prn,Prn,'/V\.C/(e)\,elle
314,41,6,affolloit,affolloit,41,Vfin,Vfin,/V\.C/V\.'C/V\,affoler
315,41,7,",",",",41,Pnc,Pnc,,","
316,42,1,avant,avant,42,PrA,PrA,/V\.'C/V\,avant
317,42,2,qu',qu',42,Sub,Sub,C/\,que
318,42,3,elle,elle,42,Prn,Prn$,'/V\.C/(e)\,elle
319,42,4,l',l',42,Prn,Prn$$,C/\,le
320,42,5,amast,amast,42,Vfin,Vfin,/V\.'C/V\,aimer
321,42,6,tant,tant,42,QIs,QIs,C/V\,tant
322,42,7,se,se,42,Prn,Prn$$,C/(e)\,se
323,42,8,douloit,douloit,42,Vfin,Vfin,C/V\.'C/V\,douloir
324,42,9,",",",",42,Pnc,Pnc,,","
325,43,1,ce,ce,43,Prn,Prn,C/(e)\,ce
326,43,2,disoit,disoit,43,Vfin,Vfin,C/V\.'C/V\,dire
327,43,3,il,il,43,Prn,Prn%,/V\,il
328,43,4,",",",",43,Pnc,Pnc,,","
329,43,5,et,et,43,Crd,Crd,/V\,et
330,43,6,mieulx,mieulx,43,Adv,Adv,C/V\,mieux
331,43,7,morir,morir,43,Vinf,Vinf,C/V\.'C/V\,mourir
332,43,8,vouloit,vouloit,43,Vfin,Vfin,C/V\.'C/V\,vouloir
333,44,1,qu',qu',44,Sub,Sub,C/\,que
334,44,2,endurer,endurer,44,Vinf,Vinf,/V\.C/V\.'C/V\,endurer
335,44,3,plus,plus,44,Adv,Adv,C/V\,plus
336,45,1,l',l',45,Det,Det,C/\,le
337,45,2,amoureux,amoureux,45,Adj,Adj,/V\.C/V\.'C/V\,amoureux
338,45,3,mal,mal,45,N,N,C/V\,mal
339,45,4,qui,qui,45,Qux,Qux,C/V\,qui
340,45,5,le,le,45,Prn,Prn$$,C/(e)\,le
341,45,6,rendoit,rendoit,45,Vfin,Vfin,C/V\.'C/V\,rendre
342,45,7,conclus,conclus,45,Vpp,Vpp,C/V\.'C/V\,conclure
343,45,8,",",",",45,Pnc,Pnc,,","
344,46,1,tant,tant,46,QIs,QIs,C/V\,tant
345,46,2,le,le,46,Prn,Prn$$,C/(e)\,le
346,46,3,tenoit,tenoit,46,Vfin,Vfin,C/V\.'C/V\,tenir
347,46,4,morne,morne,46,Adj,Adj,'C/V\.C/(e)\,morne
348,46,5,",",",",46,Pnc,Pnc,,","
349,46,6,mat,mat,46,Adj,Adj,C/V\,mat
350,46,7,et,et,46,Crd,Crd,/V\,et
351,46,8,reclus,reclus,46,Vpp,Vpp,C/V\.'C/V\,reclure
352,46,9,",",",",46,Pnc,Pnc,,","
353,47,1,ne,ne,47,Crd,Crd,C/(e)\,ne
354,47,2,fors,fors,47,PrA,PrA,C/V\,hors
355,47,3,la,la,47,Det,Det,C/V\,le
356,47,4,mort,mort,47,N,N,C/V\,mort
357,47,5,n',n',47,Neg,Neg$$,C/\,ne
358,47,6,attendoit,attendoit,47,Vfin,Vfin,/V\.C/V\.'C/V\,attendre
359,47,7,au,au,47,Pre+Det,Pre+Det,/V\,à.le
360,47,8,seurplus,seurplus,47,N,N,C/V\.'C/V\,surplus
361,47,9,",",",",47,Pnc,Pnc,,","
362,48,1,se,se,48,Sub,Sub,C/(e)\,si
363,48,2,brief,brief,48,Adj,Adj,C/V\,bref
364,48,3,merci,merci,48,N,N,C/V\.'C/V\,merci
365,49,1,elle,elle,49,Prn,Prn$,'/V\.C/(e)\,elle
366,49,2,n',n',49,Neg,Neg$$,C/\,ne
367,49,3,avoit,avoit,49,Vfin,Vfin,/V\.'C/V\,avoir
368,49,4,de,de,49,Pre,Pre,C/(e)\,de
369,49,5,lui,lui,49,Prn,Prn,C/V\,lui
370,49,6,qui,qui,49,Qux,Qux,C/V\,qui
371,49,7,d',d',49,Pre,Pre,C/\,de
372,49,8,amer,amer,49,Vinf,Vinf,/V\.'C/V\,aimer
373,49,9,si,si,49,Adv,Adv,C/V\,si
374,50,1,en,en,50,Pre,Pre,/V\,en
375,50,2,grief,grief,50,Adj,Adj,C/V\,grief
376,50,3,lengour,lengour,50,N,N,C/V\.'C/V\,langueur
377,50,4,estoit,estoit,50,Vfin,Vfin,/V\.'C/V\,être
378,50,5,taint,taint,50,Vpp,Vpp,C/V\,teindre
379,50,6,et,et,50,Crd,Crd,/V\,et
380,50,7,noircy,noircy,50,Vpp,Vpp,C/V\.'C/V\,noircir
381,50,8,",",",",50,Pnc,Pnc,,","
382,51,1,dont,dont,51,Qux,Qux,C/V\,dont
383,51,2,pour,pour,51,Pre,Pre,C/V\,pour
384,51,3,secours,secours,51,N,N,C/V\.'C/V\,secours
385,51,4,lui,lui,51,Prn,Prn$$,C/V\,lui
386,51,5,requeroit,requeroit,51,Vfin,Vfin,C/V\.C/e\.'C/V\,requérir
387,51,6,mercy,mercy,51,N,N,C/V\.'C/V\,merci
388,52,1,d',d',52,Pre,Pre,C/\,de
389,52,2,umble,umble,52,Adj,Adj,'/V\.C/(e)\,humble
390,52,3,vouloir,vouloir,52,N,N,C/V\.'C/V\,vouloir
391,52,4,.,.,52,Pnc,Pnc,,.
392,53,1,ainsi,ainsi,53,Adv,Adv,/V\.'C/V\,ainsi
393,53,2,lonc,lonc,53,Adj,Adj,C/V\,long
394,53,3,temps,temps,53,N,N,C/V\,temps
395,53,4,l',l',53,Prn,Prn$$,C/\,le
396,53,5,ouÿ,ouÿ,53,Vfin,Vfin,/V\.'C/V\,ouïr
397,53,6,plaindre,plaindre,53,Vinf,Vinf,'C/V\.C/(e)\,plaindre
398,53,7,et,et,53,Crd,Crd,/V\,et
399,53,8,douloir,douloir,53,Vinf,Vinf,C/V\.'C/V\,douloir
400,53,9,",",",",53,Pnc,Pnc,,","
401,54,1,mais,mais,54,Crd,Crd,C/V\,mais
402,54,2,celle,celle,54,Dem,Dem,'C/V\.C/(e)\,cil
403,54,3,tout,tout,54,QIs,QIs,C/V\,tout
404,54,4,mettoit,mettoit,54,Vfin,Vfin,C/V\.'C/V\,mettre
405,54,5,en,en,54,Pre,Pre,/V\,en
406,54,6,non,non,54,Neg,Neg,C/V\,ne
407,54,7,chaloir,chaloir,54,Vinf,Vinf,C/V\.'C/V\,chaloir
408,54,8,;,;,54,Pnc,Pnc,,;
409,55,1,quanqu',quanqu',55,Qux,Qux,C/V\,quanque
410,55,2,il,il,55,Prn,Prn$,/V\,il
411,55,3,disoit,disoit,55,Vfin,Vfin,C/V\.'C/V\,dire
412,55,4,pou,pou,55,N,N,C/V\,peu
413,55,5,lui,lui,55,Prn,Prn$$,C/V\,lui
414,55,6,pouoit,pouoit,55,Vfin,Vfin,C/V\.'C/V\,pouvoir
415,55,7,valoir,valoir,55,Vinf,Vinf,C/V\.'C/V\,valoir
416,56,1,ains,ains,56,PrA,PrA,/V\,ains
417,56,2,qu',qu',56,Sub,Sub,C/\,que
418,56,3,elle,elle,56,Prn,Prn$,'/V\.C/(e)\,elle
419,56,4,amast,amast,56,Vfin,Vfin,/V\.'C/V\,aimer
420,57,1,lui,lui,57,Prn,Prn%%,C/V\,lui
421,57,2,ne,ne,57,Crd,Crd,C/(e)\,ne
422,57,3,ses,ses,57,Det,Det,C/V\,son
423,57,4,fais,fais,57,N,N,C/V\,fait
424,57,5,;,;,57,Pnc,Pnc,,;
425,57,6,en,en,57,Pre,Pre,/V\,en
426,57,7,riens,riens,57,N,N,C/V\,rien
427,57,8,ne,ne,57,Neg,Neg$$,C/(e)\,ne
428,57,9,se,se,57,Prn,Prn$$,C/(e)\,se
429,57,10,tournast,tournast,57,Vfin,Vfin,C/V\.'C/V\,tourner
430,58,1,devers,devers,58,PrA,PrA,C/V\.'C/V\,devers
431,58,2,pitié,pitié,58,N,N,C/V\.'C/V\,pitié
432,58,3,",",",",58,Pnc,Pnc,,","
433,58,4,ne,ne,58,Crd,Crd,C/(e)\,ne
434,58,5,secours,secours,58,N,N,C/V\.'C/V\,secours
435,58,6,lui,lui,58,Prn,Prn$$,C/V\,lui
436,58,7,donnast,donnast,58,Vfin,Vfin,C/V\.'C/V\,donner
437,58,8,",",",",58,Pnc,Pnc,,","
438,59,1,ne,ne,59,Crd,Crd,C/(e)\,ne
