"wd_id","line_id","linewd","lex_id","tag","line_id","TT lemma"
88,13,2,"je","PRO:pers",13,"je_S"
89,13,3,"doie","VER",13,"devoir|dire_+CIM|+M"
90,13,4,"enfanteir","VER",13,"enfanter_*+T"
91,13,5,"mon","DET:poss",13,"mon1_S"
92,13,6,"enfan","NOM",13,"<nolem>"
93,13,7,".","PON",13,"."
94,14,1,"noble","ADJ",14,"noble1|noble_+IT|CI"
95,14,2,"dame","NOM",14,"dam|dame|dan2_+T|+CIT|+T"
96,14,3,",","PON",14,","
97,14,4,"vos","PRO:pers",14,"vos1_S"
98,14,5,"plaist","VER",14,"plaire_+MI"
99,14,6,"il","PRO:pers",14,"il_S"
100,15,1,"que","PROCON",15,"que3_S"
101,15,2,"je","PRO:pers",15,"je_S"
102,15,3,"voise","VER",15,"aler_+MI"
103,15,4,"les","DET:def",15,"le_S"
104,15,5,"sage","ADJ",15,"sage_+IT"
105,15,6,"feme","NOM",15,"fame|feme|fiene_+T|+CIT|+T"
106,15,7,"querir","VER",15,"querre_+T"
107,16,1,"ou","PRE",16,"o4_+S"
108,16,2,"aucune","DET:ind",16,"aucun_S"
109,16,3,"persone","NOM",16,"persone_+CT"
110,16,4,"por","PRE",16,"por2_+S"
111,16,5,"vos","PRO:pers",16,"vos1_S"
112,16,6,"acompaingnier","VER",16,"<nolem>"
113,16,7,"?","PON",16,"?"
114,17,1,"mon","DET:poss",17,"mon1_S"
115,17,2,"pere","NOM",17,"paire|pere1|piere_+T|+T|+T"
116,17,3,",","PON",17,","
117,17,4,"ainsi","ADV",17,"ainsi_+CIT"
118,17,5,"que","PROCON",17,"que3_S"
119,17,6,"a","PRE",17,"a_S"
120,17,7,"la","DET:def",17,"le_S"
121,17,8,"conception","NOM",17,"concepcïon_*+Td"
122,17,9,",","PON",17,","
123,18,1,"nulle","DET:ind",18,"nul_S"
124,18,2,"creature","NOM",18,"crïature_+Td"
125,18,3,"n","PRO:clit",18,"en2_S"
126,18,4,"y","PRO:clit",18,"i2_S"
127,18,5,"fist","VER",18,"faire|feire|fere_+CMI|M|M"
128,18,6,"chose","NOM",18,"chose_+CIT"
129,18,7,"de","PRE",18,"de_+S"
130,18,8,"monde","NOM",18,"monde1|monde_+IT|CI"
131,18,9,",","PON",18,","
132,19,1,"pareillement","ADV",19,"pareillement_Z"
133,19,2,"ne","PRO:clit",19,"en2_S"
134,19,3,"fera","VER",19,"faire_+CMI"
135,19,4,"a","PRE",19,"a_S"
136,19,5,"la","DET:def",19,"le_S"
137,19,6,"natiuité","NOM",19,"<unknown>"
138,20,1,"ne","PRO:clit",20,"en2_S"
139,20,2,"vus","PRO:pers",20,"vos1_S"
140,20,3,"souciés","VER",20,"<unknown>"
141,20,4,"ne","PRO:clit",20,"en2_S"
142,20,5,"desconforteis","VER",20,"<unknown>"
143,20,6,",","PON",20,","
144,21,1,"car","CON:coord",21,"car_S"
145,21,2,"mon","DET:poss",21,"mon1_S"
146,21,3,"pere","NOM",21,"paire|pere1|piere_+T|+T|+T"
147,21,4,"celeiste","VER",21,"<unknown>"
148,21,5,"porueirat","VER",21,"<unknown>"
149,21,6,"a","PRE",21,"a_S"
150,21,7,"tout","PRO:ind",21,"tot_S"
151,21,8,".","PON",21,"."
152,22,1,"o","PRE",22,"o4_+S"
153,22,2,"sire","NOM",22,"seignor|sire2_+CIT|+T"
154,22,3,",","PON",22,","
155,22,4,"vos","PRO:pers",22,"vos1_S"
156,22,5,"soiiés","VER",22,"<unknown>"
157,22,6,"le","PRO:pers",22,"il_S"
158,22,7,"bien","ADV",22,"bien1|bien2|bien_+IT|C|I"
159,22,8,"venu","VER",22,"venir_+I"
160,22,9,"a","PRE",22,"a_S"
161,22,10,"monde","NOM",22,"monde1|monde_+IT|CI"
162,22,11,",","PON",22,","
163,23,1,"de","PRE",23,"de_+S"
164,23,2,"ciel","NOM",23,"ciel_+IT"
165,23,3,"en","PRE",23,"en1_+S"
166,23,4,"terre","NOM",23,"terre_+CIT"
167,23,5,"por","PRE",23,"por2_+S"
168,23,6,"le","DET:def",23,"le_S"
169,23,7,"salut","NOM",23,"salu_+CT"
170,23,8,"des","PREDET:de",23,"de+le_S"
171,23,9,"homme","NOM",23,"ome_+C"
172,23,10,".","PON",23,"."
173,24,1,"o","PRE",24,"o4_+S"
174,24,2,"sire","NOM",24,"seignor|sire2_+CIT|+T"
175,24,3,",","PON",24,","
176,24,4,"que","PROCON",24,"que3_S"
177,24,5,"mult","ADV",24,"mout_I"
178,24,6,"vos","PRO:pers",24,"vos1_S"
179,24,7,"aueis","VER",24,"avoir_*+M"
180,24,8,"esté","ADV",24,"ez_Z"
181,24,9,"desireiz","VER",24,"désirer_M"
182,25,1,"des","PREDET:de",25,"de+le_S"
183,25,2,"sains","ADJ",25,"sain_+I"
184,25,3,"patriarche","NOM",25,"patrïarche_+IIdTd"
185,25,4,"et","CON:coord",25,"et_S"
186,25,5,"prophete","NOM",25,"profete_+IT"
187,25,6,".","PON",25,"."
188,26,1,"je","PRO:pers",26,"je_S"
189,26,2,"vos","PRO:pers",26,"vos1_S"
190,26,3,"adore","NPR",26,"<unknown>"
191,26,4,"comme","VER",26,"commer_M"
192,26,5,"mon","DET:poss",26,"mon1_S"
193,26,6,"createur","NOM",26,"crïator_*+Td"
194,26,7,",","PON",26,","
195,27,1,"dieu","NOM",27,"dieu_+CIT"
196,27,2,"et","CON:coord",27,"et_S"
197,27,3,"homme","NOM",27,"ome_+C"
198,27,4,"et","CON:coord",27,"et_S"
199,27,5,"mon","DET:poss",27,"mon1_S"
200,27,6,"fils","NOM",27,"fil1|fil2|fils1|fils2_+T|+T|+T|+T"
201,27,7,",","PON",27,","
202,27,8,"de","PRE",27,"de_+S"
203,27,9,"monde","ADJ",27,"monde2|monde_+IT|I"
204,27,10,"salueur","NOM",27,"<nolem>"
205,27,11,".","PON",27,"."
206,28,1,"o","PRE",28,"o4_+S"
207,28,2,"sire","NOM",28,"seignor|sire2_+CIT|+T"
208,28,3,",","PON",28,","
209,28,4,"que","PROCON",28,"que3_S"
210,28,5,"grant","ADJ",28,"grant_+CIT"
211,28,6,"grasce","NOM",28,"grace_+I"
212,28,7,"fait","VER",28,"faire|farre_+CMI|M"
213,28,8,"m","PRO:pers",28,"je_S"
214,28,9,"aueis","VER",28,"avoir_*+M"
215,28,10,",","PON",28,","
216,29,1,"de","PRE",29,"de_+S"
217,29,2,"moy","PRO:pers",29,"je_S"
218,29,3,"auoir","VER",29,"avoir_*+MIT"
219,29,4,"esleut","VER",29,"<nolem>"
220,29,5,"vostre","DET:poss",29,"vostre_S"
221,29,6,"mere","NOM",29,"mere_+CIT"
222,29,7,".","PON",29,"."
223,30,1,"mon","DET:poss",30,"mon1_S"
224,30,2,"dieu","NOM",30,"dieu_+CIT"
225,30,3,"et","CON:coord",30,"et_S"
226,30,4,"mon","DET:poss",30,"mon1_S"
227,30,5,"createur","NOM",30,"crïator_*+Td"
228,30,6,"vus","PRO:pers",30,"vos1_S"
229,30,7,"estez","VER",30,"ester|estre_+IM|M"
230,31,1,"et","CON:coord",31,"et_S"
231,31,2,"mon","DET:poss",31,"mon1_S"
232,31,3,"chire","NOM",31,"<nolem>"
233,31,4,"fils","NOM",31,"fil1|fil2|fils1|fils2_+T|+T|+T|+T"
234,31,5,"tresameis","VER",31,"<unknown>"
235,31,6,".","PON",31,"."
236,32,1,"benoite","ADJ",32,"benëoit_Z"
237,32,2,"sur","PRE",32,"sor2_+S"
238,32,3,"toute","DET:ind",32,"tot_S"
239,32,4,"femme","NOM",32,"feme_+CI"
240,32,5,",","PON",32,","
241,32,6,"permettez","VER",32,"<unknown>"
242,33,1,"que","PROCON",33,"que3_S"
243,33,2,"je","PRO:pers",33,"je_S"
244,33,3,"puis","VER",33,"pondre|pöoir_+M|+I"
245,33,4,"adoreir","VER",33,"<unknown>"
246,34,1,"le","DET:def",34,"le_S"
247,34,2,"fils","NOM",34,"fil1|fil2|fils1|fils2_+T|+T|+T|+T"
248,34,3,"de","PRE",34,"de_+S"
249,34,4,"dieu","NOM",34,"dieu_+CIT"
250,34,5,"et","CON:coord",34,"et_S"
251,34,6,"le","DET:def",34,"le_S"
252,34,7,"vostre","PRO:poss",34,"vostre_S"
253,34,8,"tant","ADV",34,"tant_CI"
254,34,9,"desirez","VER",34,"descirier_*+I"
255,34,10,".","PON",34,"."
256,35,1,"mon","DET:poss",35,"mon1_S"
257,35,2,"pere","NOM",35,"paire|pere1|piere_+T|+T|+T"
258,35,3,",","PON",35,","
259,35,4,"a","PRE",35,"a_S"
260,35,5,"vostre","DET:poss",35,"vostre_S"
261,35,6,"plaisir","NOM",35,"plaisir_+IT"
262,35,7,",","PON",35,","
263,36,1,"le","PRO:pers",36,"il_S"
264,36,2,"adoreis","VER",36,"<unknown>"
265,36,3,"toute","PRO:ind",36,"tot_S"
266,36,4,"a","PRE",36,"a_S"
267,36,5,"loysir","VER",36,"loisir_M"
268,36,6,".","PON",36,"."
269,37,1,"o","PRE",37,"o4_+S"
270,37,2,"sire","NOM",37,"seignor|sire2_+CIT|+T"
271,37,3,"dieu","VER",37,"<unknown>"
272,37,4,"beny","VER",37,"benëir_+M"
273,37,5,"soiiés","VER",37,"<unknown>"
274,37,6,",","PON",37,","
275,38,1,"quant","ADV",38,"cant_C"
276,38,2,"tant","ADV",38,"tant_CI"
277,38,3,"de","PRE",38,"de_+S"
278,38,4,"grasce","NOM",38,"grace_+I"
279,38,5,"fait","VER",38,"faire|farre_+CMI|M"
280,38,6,"m","PRO:pers",38,"je_S"
281,38,7,"auez","VER",38,"aidier_*+MMd"
282,39,1,"de","PRE",39,"de_+S"
283,39,2,"vos","PRO:pers",39,"vos1_S"
284,39,3,"veioir","VER",39,"voir_M"
285,39,4,"de","PRE",39,"de_+S"
286,39,5,"mes","DET:poss",39,"mon1_S"
287,39,6,"yeuls","NOM",39,"<nolem>"
288,39,7,"corporel","ADJ",39,"corporel_+CT"
289,39,8,",","PON",39,","
290,40,1,"et","CON:coord",40,"et_S"
291,40,2,"tant","ADV",40,"tant_CI"
292,40,3,"de","PRE",40,"de_+S"
293,40,4,"roy","NOM",40,"roi_C"
294,40,5,"et","CON:coord",40,"et_S"
295,40,6,"patriarche","NOM",40,"patrïarche_+IIdTd"
296,40,7,"et","CON:coord",40,"et_S"
297,40,8,"de","PRE",40,"de_+S"
298,40,9,"prophete","NOM",40,"profete_+IT"
299,41,1,"vos","PRO:pers",41,"vos1_S"
300,41,2,"ont","VER",41,"avoir|devoir_+CIM|+M"
301,41,3,"de","PRE",41,"de_+S"
302,41,4,"veoir","VER",41,"vëoir_+IIdTd"
303,41,5,"tant","ADV",41,"tant_CI"
304,41,6,"desirez","VER",41,"descirier_*+I"
305,42,1,"et","CON:coord",42,"et_S"
306,42,2,"point","NOM",42,"point_+CIT"
307,42,3,"ne","PRO:clit",42,"en2_S"
308,42,4,"vus","PRO:pers",42,"vos1_S"
309,42,5,"ont","VER",42,"avoir|devoir_+CIM|+M"
310,42,6,"veyut","VER",42,"voir_M"
311,42,7,"a","PRE",42,"a_S"
312,42,8,"leur","DET:poss",42,"lor2_S"
313,42,9,"greit","NOM",42,"gré2_+Z"
314,42,10,".","PON",42,"."
315,43,1,"heylas","NOM",43,"<unknown>"
316,43,2,"!","PON",43,"!"
317,43,3,"coment","ADV",43,"coment1|coment_+T|I"
318,43,4,"le","PRO:pers",43,"il_S"
319,43,5,"poraie","VER",43,"<unknown>"
320,44,1,"enver","PRE",44,"envers2_+S"
321,44,2,"vos","PRO:pers",44,"vos1_S"
322,44,3,"satisfaire","VER",44,"satisfaire_+T"
323,44,4,"?","PON",44,"?"
324,45,1,"je","PRO:pers",45,"je_S"
325,45,2,"vos","PRO:pers",45,"vos1_S"
326,45,3,"adore","NPR",45,"<unknown>"
327,45,4,"comme","VER",45,"commer_M"
328,45,5,"mon","DET:poss",45,"mon1_S"
329,45,6,"createur","NOM",45,"crïator_*+Td"
330,45,7,",","PON",45,","
331,46,1,"mon","DET:poss",46,"mon1_S"
332,46,2,"dieu","NOM",46,"dieu_+CIT"
333,46,3,"et","CON:coord",46,"et_S"
334,46,4,"mon","DET:poss",46,"mon1_S"
335,46,5,"redempteur","NOM",46,"<unknown>"
336,46,6,".","PON",46,"."
337,47,1,"o","PRE",47,"o4_+S"
338,47,2,"noble","ADJ",47,"noble1|noble_+IT|CI"
339,47,3,"damme","NOM",47,"dame_+C"
340,47,4,"bien","ADV",47,"bien1|bien2|bien_+IT|C|I"
341,47,5,"auieree","VER",47,"<unknown>"
342,47,6,",","PON",47,","
343,48,1,"regardeis","VER",48,"<unknown>"
344,48,2,"vostre","DET:poss",48,"vostre_S"
345,48,3,"enfan","NOM",48,"<nolem>"
346,48,4,"bien","ADV",48,"bien1|bien2|bien_+IT|C|I"
347,48,5,"ameis","VER",48,"amer_M"
348,48,6,",","PON",48,","
349,49,1,"qui","PROCON",49,"qui_S"
350,49,2,"ne","PRO:clit",49,"en2_S"
351,49,3,"fait","VER",49,"faire|farre_+CMI|M"
352,49,4,"que","PROCON",49,"que3_S"
353,49,5,"gemire","VER",49,"<unknown>"
354,49,6,"et","CON:coord",49,"et_S"
355,49,7,"ploreir","VER",49,"pleurer_M"
356,50,1,"de","PRE",50,"de_+S"
357,50,2,"faim","NOM",50,"faim_+IT"
358,50,3,",","PON",50,","
359,50,4,"de","PRE",50,"de_+S"
360,50,5,"froit","NOM",50,"froit3|froiz2_+T|+T"
361,50,6,"et","CON:coord",50,"et_S"
362,50,7,"de","PRE",50,"de_+S"
363,50,8,"pouureté","VER",50,"<unknown>"
364,50,9,".","PON",50,"."
365,51,1,"helas","INT",51,"<nolem>"
366,51,2,"!","PON",51,"!"
367,51,3,"chire","NOM",51,"<nolem>"
368,51,4,"damme","NOM",51,"dame_+C"
369,51,5,",","PON",51,","
370,51,6,"que","PROCON",51,"que3_S"
371,51,7,"fereis","VER",51,"faire|férir_*+M|M"
372,51,8,",","PON",51,","
373,52,1,"quant","ADV",52,"cant_C"
374,52,2,"point","VER",52,"peindre1|poindre_+I|+MI"
375,52,3,"de","PRE",52,"de_+S"
376,52,4,"lait","NOM",52,"lait2|lait3_+IT|+IT"
377,52,5,"vus","PRO:pers",52,"vos1_S"
378,52,6,"n","PRO:clit",52,"en2_S"
379,52,7,"aueis","VER",52,"avoir_*+M"
380,53,1,"por","PRE",53,"por2_+S"
381,53,2,"doneir","VER",53,"doner_+M"
382,53,3,"a","PRE",53,"a_S"
383,53,4,"vostre","DET:poss",53,"vostre_S"
384,53,5,"enfan","NOM",53,"<nolem>"
385,53,6,"?","PON",53,"?"
386,54,1,"vos","PRO:pers",54,"vos1_S"
387,54,2,"plaist","VER",54,"plaire_+MI"
388,54,3,"il","PRO:pers",54,"il_S"
389,54,4,"que","PROCON",54,"que3_S"
390,54,5,"je","PRO:pers",54,"je_S"
391,54,6,"appelle","VER",54,"apeler_+CM"
392,54,7,"queilque","ADJ",54,"<nolem>"
393,54,8,"femme","NOM",54,"feme_+CI"
394,55,1,"qui","PROCON",55,"qui_S"
395,55,2,"le","PRO:pers",55,"il_S"
396,55,3,"venrat","VER",55,"venir_+Z"
397,55,4,"alaitire","NOM",55,"<unknown>"
398,55,5,"?","PON",55,"?"
399,56,1,"nennilh","NOM",56,"<unknown>"
400,56,2,",","PON",56,","
401,56,3,"voirement","ADV",56,"voirement_I"
402,56,4,",","PON",56,","
403,57,1,"car","CON:coord",57,"car_S"
404,57,2,"dieu","VER",57,"<unknown>"
405,57,3,"mon","DET:poss",57,"mon1_S"
406,57,4,"pere","NOM",57,"paire|pere1|piere_+T|+T|+T"
407,57,5,"porueirat","VER",57,"<unknown>"
408,57,6,"parfaitement","ADV",57,"parfaitement_Z"
409,57,7,".","PON",57,"."
410,58,1,"o","PRE",58,"o4_+S"
411,58,2,"dieu","NOM",58,"dieu_+CIT"
412,58,3,",","PON",58,","
413,58,4,"mon","DET:poss",58,"mon1_S"
414,58,5,"pere","NOM",58,"paire|pere1|piere_+T|+T|+T"
415,58,6,",","PON",58,","
416,58,7,"vus","PRO:pers",58,"vos1_S"
417,58,8,"et","CON:coord",58,"et_S"
418,58,9,"moy","PRO:pers",58,"je_S"
419,58,10,"auons","VER",58,"avoir_+C"
420,59,1,"unc","ADV",59,"onque_+I"
421,59,2,"seule","ADJ",59,"sol1|sol_+I|I"
422,59,3,"fils","NOM",59,"fil1|fil2|fils1|fils2_+T|+T|+T|+T"
423,59,4,"en","PRE",59,"en1_+S"
424,59,5,"commun","ADJ",59,"comun_C"
425,59,6,";","PON",59,";"
426,60,1,"portant","ADV",60,"por_tant_Z"
427,60,2,"vos","PRO:pers",60,"vos1_S"
428,60,3,",","PON",60,","
429,60,4,"qui","PROCON",60,"qui_S"
430,60,5,"porueiés","VER",60,"<unknown>"
431,61,1,"a","PRE",61,"a_S"
432,61,2,"toute","DET:ind",61,"tot_S"
433,61,3,"creature","NOM",61,"crïature_+Td"
434,61,4,"leur","DET:poss",61,"lor2_S"
435,61,5,"necessité","NOM",61,"necessité_+T"
436,61,6,",","PON",61,","
437,62,1,"porueiés","VER",62,"<unknown>"
438,62,2,"a","PRE",62,"a_S"
439,62,3,"pitit","ADJ",62,"<nolem>"
440,62,4,"enfan","NOM",62,"<nolem>"
441,62,5,",","PON",62,","
442,62,6,"teillement","NOM",62,"<unknown>"
443,63,1,"qu","PROCON",63,"que1|que2|que3|que4_S|S|S|S"
444,63,2,"il","PRO:pers",63,"il_S"
445,63,3,"puis","VER",63,"pondre|pöoir_+M|+I"
446,63,4,"estre","VER",63,"entr'estre|estre1_+M|+IT"
447,63,5,"sustentez","VER",63,"<unknown>"
448,63,6,"suffissamment","VER",63,"<unknown>"
449,63,7,".","PON",63,"."
450,64,1,"trechire","VER",64,"<unknown>"
451,64,2,"frere","NOM",64,"frere_+CIT"
452,64,3,"et","CON:coord",64,"et_S"
453,64,4,"amis","NOM",64,"ami_+I"
454,64,5,",","PON",64,","
455,65,1,"point","NOM",65,"point_+CIT"
456,65,2,"de","PRE",65,"de_+S"
457,65,3,"paour","NOM",65,"pëor_*+Td"
458,65,4,"n","PRO:clit",65,"en2_S"
459,65,5,"aiiés","VER",65,"<nolem>"
460,65,6,";","PON",65,";"
461,66,1,"veiiés","NOM",66,"<unknown>"
462,66,2,",","PON",66,","
463,66,3,"tres","ADV",66,"tres|très_I|IIdTd"
464,66,4,"grant","ADJ",66,"grant_+CIT"
465,66,5,"ioie","NOM",66,"joie|joïe1|joïe2_*+IT|+Td|+Td"
466,66,6,"je","PRO:pers",66,"je_S"
467,66,7,"vos","PRO:pers",66,"vos1_S"
468,66,8,"anunche","VER",66,"<unknown>"
469,66,9,",","PON",66,","
470,67,1,"qui","PROCON",67,"qui_S"
471,67,2,"eirt","VER",67,"estre_M"
472,67,3,"a","PRE",67,"a_S"
473,67,4,"toute","DET:ind",67,"tot_S"
474,67,5,"le","DET:def",67,"le_S"
475,67,6,"monde","NOM",67,"monde1|monde_+IT|CI"
476,67,7,",","PON",67,","
477,68,1,"car","CON:coord",68,"car_S"
478,68,2,"aiourduy","VER",68,"<unknown>"
479,68,3,"vos","PRO:pers",68,"vos1_S"
480,68,4,"est","VER",68,"ester|estre1_+M|+I"
481,68,5,"neis","ADV",68,"nois|nëis_+Td|Id"
482,68,6,"le","DET:def",68,"le_S"
483,68,7,"salueur","NOM",68,"<nolem>"
484,68,8,",","PON",68,","
485,69,1,"qui","PROCON",69,"qui_S"
486,69,2,"est","VER",69,"ester|estre1_+M|+I"
487,69,3,"crist","VER",69,"<unknown>"
488,69,4,"le","DET:def",69,"le_S"
489,69,5,"signeur","NOM",69,"seignor_+C"
490,70,1,"et","CON:coord",70,"et_S"
491,70,2,"je","PRO:pers",70,"je_S"
492,70,3,"vos","PRO:pers",70,"vos1_S"
493,70,4,"donne","VER",70,"doner_+CM"
494,70,5,"chi","ADV",70,"ci_+Z"
495,70,6,"signe","NOM",70,"signe1|signe2|signe3|signe4|sine|sines|sinne|sisne_+T|+T|+T|+T|+T|+T|+T|+T"
496,70,7,"par","PRE",70,"par_S"
497,70,8,"verité","NOM",70,"verité_+IT"
498,70,9,",","PON",70,","
499,71,1,"car","CON:coord",71,"car_S"
500,71,2,"l","DET:def",71,"le_S"
501,71,3,"enfan","NOM",71,"<nolem>"
502,71,4,"vos","PRO:pers",71,"vos1_S"
503,71,5,"trouuerés","VER",71,"<unknown>"
504,71,6,",","PON",71,","
505,72,1,"nus","PRO:ind",72,"nul_S"
506,72,2,"en","PRE",72,"en1_+S"
507,72,3,"la","DET:def",72,"le_S"
508,72,4,"creppe","NOM",72,"<unknown>"
509,72,5,",","PON",72,","
510,72,6,"de","PRE",72,"de_+S"
511,72,7,"drappellét","NOM",72,"<unknown>"
512,72,8,"envolleppez","VER",72,"<unknown>"
513,72,9,".","PON",72,"."
514,73,1,"encore","ADV",73,"encore_+IT"
515,73,2,"vos","PRO:pers",73,"vos1_S"
516,73,3,"nonche","VER",73,"<nolem>"
517,73,4,"grant","ADJ",73,"grant_+CIT"
518,73,5,"paix","NOM",73,"pais_+Z"
519,73,6,"et","CON:coord",73,"et_S"
520,73,7,"grant","ADJ",73,"grant_+CIT"
521,73,8,"honeur","NOM",73,"onor_*+IT"
522,73,9,";","PON",73,";"
523,74,1,"neis","ADV",74,"nois|nëis_+Td|Id"
524,74,2,"est","VER",74,"ester|estre1_+M|+I"
525,74,3,"le","DET:def",74,"le_S"
526,74,4,"roy","NOM",74,"roi_C"
527,74,5,"que","PROCON",74,"que3_S"
528,74,6,"de","PRE",74,"de_+S"
529,74,7,"monde","NOM",74,"monde1|monde_+IT|CI"
530,74,8,"est","VER",74,"ester|estre1_+M|+I"
531,74,9,"salueur","NOM",74,"<nolem>"
532,74,10,";","PON",74,";"
533,75,1,"en","PRE",75,"en1_+S"
534,75,2,"bethleem","NPR",75,"bethleem_Z"
535,75,3,"aleiz","VER",75,"aler_+M"
536,75,4,"toust","ADV",75,"tost1|tost_*+T|CI"
537,75,5,"sens","PRE",75,"sans_+S"
538,75,6,"sourjour","NOM",75,"<unknown>"
539,75,7,",","PON",75,","
540,76,1,"si","ADV",76,"si_+IT"
541,76,2,"sareis","VER",76,"savoir_+M"
542,76,3,"le","DET:def",76,"le_S"
543,76,4,"renom","NOM",76,"renom_+IT"
544,76,5,"por","PRE",76,"por2_+S"
545,76,6,"vos","PRO:pers",76,"vos1_S"
546,76,7,"mielz","ADV",76,"mieus_I"
547,76,8,"enformeir","VER",76,"enformer_*+T"
548,76,9,".","PON",76,"."
549,77,1,"aiourduy","NOM",77,"<unknown>"
550,77,2,",","PON",77,","
551,77,3,"le","DET:def",77,"le_S"
552,77,4,"roy","NOM",77,"roi_C"
553,77,5,"des","PREDET:de",77,"de+le_S"
554,77,6,"ciel","NOM",77,"ciel_+IT"
555,78,1,"at","VER",78,"avoir|estre_+IM|M"
556,78,2,"daingnié","VER",78,"<unknown>"
557,78,3,"naistre","VER",78,"naistre|nasquir_+MIT|M"
558,78,4,"de","PRE",78,"de_+S"
559,78,5,"la","DET:def",78,"le_S"
560,78,6,"vierge","NOM",78,"virge_T"
561,78,7,"marie","VER",78,"marïer_+I"
562,78,8,",","PON",78,","
563,79,1,"affin","ADV",79,"<nolem>"
564,79,2,"que","PROCON",79,"que3_S"
565,79,3,"que","PROCON",79,"que3_S"
566,79,4,"l","DET:def",79,"le_S"
567,79,5,"homme","NOM",79,"ome_+C"
568,79,6,"et","CON:coord",79,"et_S"
